State,Sex,Age Group,Bachelor's Degree Holders,Science and Engineering,Science and Engineering Related Fields,Business,Education,"Arts, Humanities and Others"
13,1,40,"73,544","34,408","4,439","14,738","4,545","15,414"
13,1,65,"44,243","20,985","3,645","7,343","5,610","6,660"
13,2,20,"171,981","43,629","27,408","24,765","34,665","41,514"
13,2,25,"55,972","15,657","9,684","6,975","7,065","16,591"
13,2,40,"79,367","20,487","12,164","13,950","15,896","16,870"
13,2,65,"36,642","7,485","5,560","3,840","11,704","8,053"
14,1,20,"1,464,965","622,038","89,420","358,287","82,990","312,230"
14,1,25,"513,769","224,460","29,552","120,308","16,859","122,590"
14,1,40,"665,420","274,008","43,007","175,465","34,552","138,388"
14,1,65,"285,776","123,570","16,861","62,514","31,579","51,252"
14,2,20,"1,644,007","423,186","220,627","303,831","293,097","403,266"
14,2,25,"597,784","184,871","78,114","105,153","65,514","164,132"
14,2,40,"769,099","188,884","105,976","171,436","126,215","176,588"
14,2,65,"277,124","49,431","36,537","27,242","101,368","62,546"
15,1,20,"570,100","220,231","45,180","139,389","48,629","116,671"
15,1,25,"184,530","76,491","14,729","39,953","8,681","44,676"
15,1,40,"265,094","97,909","21,997","71,036","21,315","52,837"
15,1,65,"120,476","45,831","8,454","28,400","18,633","19,158"
15,2,20,"642,726","137,637","102,851","115,489","141,537","145,212"
15,2,25,"224,647","58,346","38,305","37,012","34,021","56,963"
15,2,40,"303,161","63,029","46,676","70,036","60,258","63,162"
15,2,65,"114,918","16,262","17,870","8,441","47,258","25,087"
16,1,20,"288,308","120,334","15,364","69,871","29,155","53,584"
16,1,25,"96,756","41,317","5,074","24,911","5,537","19,917"
16,1,40,"126,471","53,639","6,493","32,521","10,868","22,950"
16,1,65,"65,081","25,378","3,797","12,439","12,750","10,717"
16,2,20,"333,945","71,251","45,983","54,751","83,568","78,392"
16,2,25,"121,666","32,384","15,261","21,824","20,789","31,408"
16,2,40,"146,875","31,266","21,239","28,940","31,403","34,027"
16,2,65,"65,404","7,601","9,483","3,987","31,376","12,957"
17,1,20,"305,711","123,015","19,005","75,793","28,005","59,893"
17,1,25,"96,457","41,453","5,107","23,128","5,111","21,658"
17,1,40,"135,624","53,396","9,393","34,756","12,213","25,866"
17,1,65,"73,630","28,166","4,505","17,909","10,681","12,369"
17,2,20,"346,778","68,489","52,204","60,310","85,420","80,355"
17,2,25,"120,501","28,214","19,948","19,096","21,095","32,148"
17,2,40,"155,975","30,728","23,933","34,351","33,741","33,222"
17,2,65,"70,302","9,547","8,323","6,863","30,584","14,985"
18,1,20,"349,170","128,571","23,251","85,315","28,788","83,245"
18,1,25,"113,495","41,983","7,050","28,188","5,264","31,010"
18,1,40,"154,605","55,052","11,627","38,761","12,008","37,157"
18,1,65,"81,070","31,536","4,574","18,366","11,516","15,078"
18,2,20,"416,753","87,303","67,359","67,614","94,291","100,186"
18,2,25,"145,858","37,703","24,217","22,849","20,507","40,582"
18,2,40,"195,228","39,343","34,470","37,962","41,868","41,585"
18,2,65,"75,667","10,257","8,672","6,803","31,916","18,019"
19,1,20,"340,662","127,874","26,095","81,031","23,289","82,373"
19,1,25,"111,212","45,093","8,394","23,684","3,254","30,787"
19,1,40,"147,709","54,272","10,917","36,946","8,664","36,910"
19,1,65,"81,741","28,509","6,784","20,401","11,371","14,676"
19,2,20,"443,613","98,133","76,926","70,853","102,744","94,957"
19,2,25,"159,208","47,623","27,153","25,810","16,655","41,967"
19,2,40,"197,716","38,408","38,564","36,466","46,314","37,964"
19,2,65,"86,689","12,102","11,209","8,577","39,775","15,026"
20,1,20,"145,139","61,034","8,598","24,300","12,712","38,495"
20,1,25,"34,457","14,005","2,239","4,649","1,325","12,239"
20,1,40,"64,017","25,955","4,510","13,249","4,182","16,121"
20,1,65,"46,665","21,074","1,849","6,402","7,205","10,135"
20,2,20,"183,860","49,664","28,271","19,550","33,077","53,298"
20,2,25,"51,534","16,154","8,891","4,706","5,928","15,855"
20,2,40,"87,589","24,136","13,252","12,561","13,065","24,575"
20,2,65,"44,737","9,374","6,128","2,283","14,084","12,868"
21,1,20,"785,418","394,216","38,409","161,260","32,424","159,109"
21,1,25,"237,450","118,832","12,837","45,167","6,569","54,045"
21,1,40,"375,213","186,317","16,705","85,808","12,847","73,536"
21,1,65,"172,755","89,067","8,867","30,285","13,008","31,528"
21,2,20,"924,812","304,887","116,935","156,125","119,513","227,352"
21,2,25,"305,708","109,529","39,091","48,469","25,171","83,448"
21,2,40,"449,630","151,958","53,866","92,844","48,021","102,941"
21,2,65,"169,474","43,400","23,978","14,812","46,321","40,963"
22,1,20,"1,022,259","497,483","46,577","220,591","36,389","221,219"
22,1,25,"353,593","176,251","15,081","76,183","7,419","78,659"
22,1,40,"464,398","229,715","20,790","105,107","12,446","96,340"
